experimento,tipo_registro,contexto,modelo,numero_pregunta,dificultad,pregunta,respuesta_esperada,respuesta_obtenida,score,tiempo_inferencia_s,correcta,tipo_coincidencia,observacion,configuracion,total_preguntas,correctas,accuracy,recall_at_k,chunk_size,overlap,top_k,numero_chunks,dimension_embeddings,modelo_embeddings,score_medio,tiempo_total_s,tiempo_medio_s
comparacion_modelos,detalle_pregunta,Contexto inicial UES,BETO-SQuAD2 (mrm8488),1,Fácil,¿Cuándo fue fundada la Universidad de El Salvador?,16 de febrero de 1841,16 de febrero de 1841,0.967722,0.0619,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score alto.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Contexto inicial UES,BETO-SQuAD2 (mrm8488),2,Fácil,¿Qué tipo de universidad es la Universidad de El Salvador?,universidad pública,universidad publica,0.506616,0.0614,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score medio.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Contexto inicial UES,BETO-SQuAD2 (mrm8488),3,Intermedia,¿Dónde se encuentra el campus central?,San Salvador,san salvador,0.939232,0.0613,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score alto.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Contexto inicial UES,BETO-SQuAD2 (mrm8488),4,Intermedia,¿Cuál es la misión institucional?,"contribuir al desarrollo científico, tecnológico y cultural de El Salvador mediante la docencia, la investigación y la proyección social","contribuir al desarrollo cientifico, tecnologico y cultural de el salvador",0.393121,0.0610,No,Respuesta parcialmente extraída,Respuesta parcialmente extraída; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Contexto inicial UES,BETO-SQuAD2 (mrm8488),5,Difícil,¿A qué facultad pertenece la Escuela de Ingeniería de Sistemas Informáticos?,Facultad de Ingeniería y Arquitectura,ingenieria y arquitectura,0.393286,0.0642,Sí,Respuesta correcta por revisión manual explícita,Respuesta correcta por revisión manual explícita; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Contexto inicial UES,BETO-SQuAD2 (MMG),1,Fácil,¿Cuándo fue fundada la Universidad de El Salvador?,16 de febrero de 1841,16 de febrero de 1841,0.899243,0.0650,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score alto.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Contexto inicial UES,BETO-SQuAD2 (MMG),2,Fácil,¿Qué tipo de universidad es la Universidad de El Salvador?,universidad pública,universidad pública,0.431322,0.0651,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score medio.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Contexto inicial UES,BETO-SQuAD2 (MMG),3,Intermedia,¿Dónde se encuentra el campus central?,San Salvador,San Salvador,0.877590,0.0604,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score alto.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Contexto inicial UES,BETO-SQuAD2 (MMG),4,Intermedia,¿Cuál es la misión institucional?,"contribuir al desarrollo científico, tecnológico y cultural de El Salvador mediante la docencia, la investigación y la proyección social","contribuir al desarrollo científico, tecnológico y cultural de El Salvador mediante la docencia, la investigación y la proyección social",0.255017,0.0601,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Contexto inicial UES,BETO-SQuAD2 (MMG),5,Difícil,¿A qué facultad pertenece la Escuela de Ingeniería de Sistemas Informáticos?,Facultad de Ingeniería y Arquitectura,Facultad de Ingeniería y Arquitectura,0.221176,0.0646,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Contexto inicial UES,BETO-SQAC (MMG),1,Fácil,¿Cuándo fue fundada la Universidad de El Salvador?,16 de febrero de 1841,el 16 de febrero de 1841,0.660367,0.0606,Sí,Respuesta correcta dentro de un fragmento más amplio,Respuesta correcta dentro de un fragmento más amplio; score medio.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Contexto inicial UES,BETO-SQAC (MMG),2,Fácil,¿Qué tipo de universidad es la Universidad de El Salvador?,universidad pública,una universidad pública,0.360759,0.0629,Sí,Respuesta correcta dentro de un fragmento más amplio,Respuesta correcta dentro de un fragmento más amplio; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Contexto inicial UES,BETO-SQAC (MMG),3,Intermedia,¿Dónde se encuentra el campus central?,San Salvador,San Salvador,0.776094,0.0614,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score alto.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Contexto inicial UES,BETO-SQAC (MMG),4,Intermedia,¿Cuál es la misión institucional?,"contribuir al desarrollo científico, tecnológico y cultural de El Salvador mediante la docencia, la investigación y la proyección social","contribuir al desarrollo científico, tecnológico y cultural de El Salvador mediante la docencia, la investigación y la proyección social",0.897694,0.0596,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score alto.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Contexto inicial UES,BETO-SQAC (MMG),5,Difícil,¿A qué facultad pertenece la Escuela de Ingeniería de Sistemas Informáticos?,Facultad de Ingeniería y Arquitectura,Ingeniería y Arquitectura,0.384246,0.0616,Sí,Respuesta correcta por revisión manual explícita,Respuesta correcta por revisión manual explícita; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Bases de datos y SGBD,BETO-SQuAD2 (mrm8488),1,Fácil,¿Qué es un Sistema Gestor de Bases de Datos?,"un sistema de software que permite definir, almacenar, consultar y administrar la información",un sistema de [UNK],0.135415,0.1811,No,Respuesta incorrecta o no relacionada,Respuesta incorrecta o no relacionada; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Bases de datos y SGBD,BETO-SQuAD2 (mrm8488),2,Fácil,¿Cómo organiza la información el modelo relacional?,"en tablas formadas por filas, también llamadas registros, y columnas","tablas formadas por filas, tambien llamadas registros, y columnas que representan atributos",0.313617,0.1845,Sí,Variante textual correcta,Variante textual correcta; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Bases de datos y SGBD,BETO-SQuAD2 (mrm8488),3,Intermedia,¿Cuál es la función de una clave primaria?,identifica de manera única cada registro de una tabla,identifica de manera unica cada registro de una tabla,0.538458,0.1811,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score medio.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Bases de datos y SGBD,BETO-SQuAD2 (mrm8488),4,Intermedia,¿Qué relación establece una clave foránea?,una relación con la clave primaria de otra tabla,la clave primaria de otra tabla,0.306922,0.1843,Sí,Respuesta correcta por revisión manual explícita,Respuesta correcta por revisión manual explícita; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Bases de datos y SGBD,BETO-SQuAD2 (mrm8488),5,Difícil,¿Cuáles son las cuatro propiedades de una transacción confiable?,"atomicidad, consistencia, aislamiento y durabilidad","atomicidad, consistencia, aislamiento y durabilidad",0.888957,0.1857,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score alto.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Bases de datos y SGBD,BETO-SQuAD2 (MMG),1,Fácil,¿Qué es un Sistema Gestor de Bases de Datos?,"un sistema de software que permite definir, almacenar, consultar y administrar la información","un sistema de software que permite definir, almacenar, consultar y administrar la información",0.220334,0.1778,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Bases de datos y SGBD,BETO-SQuAD2 (MMG),2,Fácil,¿Cómo organiza la información el modelo relacional?,"en tablas formadas por filas, también llamadas registros, y columnas",tablas formadas por filas,0.244851,0.1783,No,Respuesta incorrecta o no relacionada,Respuesta incorrecta o no relacionada; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Bases de datos y SGBD,BETO-SQuAD2 (MMG),3,Intermedia,¿Cuál es la función de una clave primaria?,identifica de manera única cada registro de una tabla,"identifica de manera única cada registro de una tabla, mientras que una clave foránea establece una relación con la clave primaria de otra tabla. Estas relaciones permiten conectar información sin repetirla innecesariamente",0.168835,0.1757,Sí,Respuesta correcta dentro de un fragmento más amplio,Respuesta correcta dentro de un fragmento más amplio; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Bases de datos y SGBD,BETO-SQuAD2 (MMG),4,Intermedia,¿Qué relación establece una clave foránea?,una relación con la clave primaria de otra tabla,clave primaria de otra tabla,0.348627,0.1784,Sí,Respuesta correcta por revisión manual explícita,Respuesta correcta por revisión manual explícita; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Bases de datos y SGBD,BETO-SQuAD2 (MMG),5,Difícil,¿Cuáles son las cuatro propiedades de una transacción confiable?,"atomicidad, consistencia, aislamiento y durabilidad","atomicidad, consistencia, aislamiento y durabilidad",0.665683,0.1767,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score medio.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Bases de datos y SGBD,BETO-SQAC (MMG),1,Fácil,¿Qué es un Sistema Gestor de Bases de Datos?,"un sistema de software que permite definir, almacenar, consultar y administrar la información","un sistema de software que permite definir, almacenar, consultar y administrar la información",0.370754,0.1915,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Bases de datos y SGBD,BETO-SQAC (MMG),2,Fácil,¿Cómo organiza la información el modelo relacional?,"en tablas formadas por filas, también llamadas registros, y columnas","en tablas formadas por filas, también llamadas registros, y columnas que representan atributos",0.952527,0.1854,Sí,Respuesta correcta dentro de un fragmento más amplio,Respuesta correcta dentro de un fragmento más amplio; score alto.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Bases de datos y SGBD,BETO-SQAC (MMG),3,Intermedia,¿Cuál es la función de una clave primaria?,identifica de manera única cada registro de una tabla,identifica de manera única cada registro de una tabla,0.948594,0.1757,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score alto.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Bases de datos y SGBD,BETO-SQAC (MMG),4,Intermedia,¿Qué relación establece una clave foránea?,una relación con la clave primaria de otra tabla,con la clave primaria de otra tabla,0.621292,0.1767,Sí,Respuesta correcta por revisión manual explícita,Respuesta correcta por revisión manual explícita; score medio.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Bases de datos y SGBD,BETO-SQAC (MMG),5,Difícil,¿Cuáles son las cuatro propiedades de una transacción confiable?,"atomicidad, consistencia, aislamiento y durabilidad","atomicidad, consistencia, aislamiento y durabilidad",0.999120,0.1797,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score alto.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Wikipedia: Aprendizaje automático,BETO-SQuAD2 (mrm8488),1,Fácil,¿Cuál es el objetivo del aprendizaje automático?,desarrollar técnicas que permitan que las computadoras aprendan,desarrollar tecnicas que permitan que las computadoras aprendan,0.724164,0.1180,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score medio.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Wikipedia: Aprendizaje automático,BETO-SQuAD2 (mrm8488),2,Intermedia,¿Cuándo se considera que un agente aprende?,cuando su desempeño mejora con la experiencia y mediante el uso de datos,cuando su desempeno mejora con la experiencia y mediante el uso de datos,0.791213,0.1200,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score alto.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Wikipedia: Aprendizaje automático,BETO-SQuAD2 (mrm8488),3,Intermedia,¿Qué establece un algoritmo de aprendizaje supervisado?,una correspondencia entre entradas y salidas deseadas,una correspondencia entre entradas y salidas deseadas,0.388184,0.1187,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Wikipedia: Aprendizaje automático,BETO-SQuAD2 (mrm8488),4,Difícil,¿Qué debe hacer el sistema en el aprendizaje no supervisado?,reconocer patrones en ejemplos que solo contienen entradas,reconocer patrones en ejemplos que solo contienen entradas,0.491333,0.1198,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score medio.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Wikipedia: Aprendizaje automático,BETO-SQuAD2 (mrm8488),5,Intermedia,¿Qué información de entrada utiliza el aprendizaje por refuerzo?,la retroalimentación que recibe como respuesta a sus acciones,retroalimentacion que recibe como respuesta a sus acciones,0.339729,0.1194,Sí,Variante textual correcta,Variante textual correcta; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Wikipedia: Aprendizaje automático,BETO-SQuAD2 (MMG),1,Fácil,¿Cuál es el objetivo del aprendizaje automático?,desarrollar técnicas que permitan que las computadoras aprendan,desarrollar técnicas que permitan que las computadoras aprendan,0.494687,0.0972,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score medio.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Wikipedia: Aprendizaje automático,BETO-SQuAD2 (MMG),2,Intermedia,¿Cuándo se considera que un agente aprende?,cuando su desempeño mejora con la experiencia y mediante el uso de datos,cuando su desempeño mejora con la experiencia y mediante el uso de datos,0.750243,0.1001,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score alto.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Wikipedia: Aprendizaje automático,BETO-SQuAD2 (MMG),3,Intermedia,¿Qué establece un algoritmo de aprendizaje supervisado?,una correspondencia entre entradas y salidas deseadas,una correspondencia entre entradas y salidas deseadas,0.162818,0.0993,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Wikipedia: Aprendizaje automático,BETO-SQuAD2 (MMG),4,Difícil,¿Qué debe hacer el sistema en el aprendizaje no supervisado?,reconocer patrones en ejemplos que solo contienen entradas,reconocer patrones en ejemplos que solo contienen entradas,0.347432,0.0997,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Wikipedia: Aprendizaje automático,BETO-SQuAD2 (MMG),5,Intermedia,¿Qué información de entrada utiliza el aprendizaje por refuerzo?,la retroalimentación que recibe como respuesta a sus acciones,retroalimentación,0.285649,0.0999,No,Respuesta incorrecta o no relacionada,Respuesta incorrecta o no relacionada; score bajo.,,,,,,,,,,,,,,
comparacion_modelos,detalle_pregunta,Wikipedia: Aprendizaje automático,BETO-SQAC (MMG),1,Fácil,¿Cuál es el objetivo del aprendizaje automático?,desarrollar técnicas que permitan que las computadoras aprendan,desarrollar técnicas que permitan que las computadoras aprendan,0.984732,0.0988,Sí,Respuesta exacta tras normalización,Respuesta exacta tras normalización; score alto.,,,,,,,,,,,,,,
