numero,pregunta,documento_esperado,pagina_esperada,sin_respuesta,rank,documento,titulo_documento,pagina_inicio,pagina_fin,chunk_id,chunk_global_id,vector_posicion,similitud,documento_correcto,chunk_relevante,texto
1,¿Con qué periodicidad sesiona ordinariamente el Consejo Académico?,documento_fuente.pdf,3.0,False,1,ley_organica_ues.pdf,Ley Orgánica de la Universidad de El Salvador,5,5,24,241,240,0.7039943933486938,False,False,"sos en que los miembros suplentes podrán devengar dietas por las sesiones a que asistan sin sustituir al propietario. En todo caso, no podrá pagarse dietas por más de cuatro sesiones en el mes. Reuniones Art. 18. - La Asamblea General Universitaria se reunirá ordinariamente una vez al mes y extraordinariamente cuando convoque la Junta Directiva, por iniciativa de la misma o a solicitud escrita del Consejo Superior Universitario, del Rector; o cuando lo requiera, también por escrito, un número no inferior al treinta por ciento del total de sus miembros. En caso de extrema gravedad o de gran importancia para la existencia o la buena marcha de la Universidad, la Asamblea deberá declararse en sesión permanente por el tiempo que sea necesario. Atribuciones y deberes Art. 19. - La Asamblea Gener"
1,¿Con qué periodicidad sesiona ordinariamente el Consejo Académico?,documento_fuente.pdf,3.0,False,2,ley_organica_ues.pdf,Ley Orgánica de la Universidad de El Salvador,11,11,51,268,267,0.6834816932678223,False,False,"informar al Decano sobre el desempeño de las distintas dependencias de la misma. Además, deberá cumplir las atribuciones y deberes que le establezcan los reglamentos. Asambleas del Personal Académico Art. 35. - En cada Facultad habrá una Asamblea del Personal Académico integrada por la totalidad de los docentes, de los investigadores y de los encargados de la proyección social, que pertenezcan a la respectiva Facultad. Corresponde a las Asambleas del Personal Académico dictaminar sobre asuntos pedagógicos y en general sobre asuntos técnicos, propios de la Facultad de que se trate; y tendrán, además, las atribuciones y deberes que le establezcan los reglamentos. CAPÍTULO IV DEL ORDEN JURÍDICO Y LA ASESORÍA LEGAL Fiscalía General de la Universidad Art. 36. - La Fiscalía General de la Univers"
1,¿Con qué periodicidad sesiona ordinariamente el Consejo Académico?,documento_fuente.pdf,3.0,False,3,documento_fuente.pdf,Reglamento de la Gestión Académico-Administrativa de la Universidad de El Salvador,36,36,125,125,124,0.682252824306488,True,False,"s administraciones Académicas Locales enviaran a la Administración Académica Central los colectores de las evaluaciones realizadas por los estudiantes a más tardar dentro de la tercera semana después de finalizado el ciclo respectivo, para el archivo correspondiente. Articulo 142. La Junta Directiva de Facultad, aprobará el calendario general de las evaluaciones, de acuerdo al calendario de actividades académicas–administrativas aprobado por el Consejo Superior Universitario. La Dirección o Jefatura responsable informará a la población interesada sobre el calendario antes mencionado por todos los medios a su alcance y no podrá ser modificado arbitrariamente. Artículo 143. Las actividades de evaluación de un mismo nivel de estudio se calendarizarán, evitando la simultaneidad de las evaluaci"
1,¿Con qué periodicidad sesiona ordinariamente el Consejo Académico?,documento_fuente.pdf,3.0,False,4,reglamento_general_ley_organica_ues.pdf,Reglamento General de la Ley Orgánica de la Universidad de El Salvador,11,11,46,563,562,0.6726645231246948,False,False,"os de la UES. De la Asamblea del Personal Académico Art. 43. - En cada Facultad habrá una Asamblea de Personal Académico, integrada por los Docentes que reúnen los requisitos del Art. 46 de la Ley Orgánica y lo establecido en el Reglamento de Escalafón en lo relativo al Personal Académico, los investigadores y los encargados de la Proyección Social que cumplan los requisitos para ser docentes. La Asamblea del Personal académico, será el máximo organismo asesor y consultivo de la JD y del Comité Técnico Asesor, así como también elector de sus representantes ante los órganos de gobierno de la Universidad. Cuando ejerza las funciones electorales se regirá de conformidad a la Ley Orgánica y al Reglamento Electoral. Otras Atribuciones y deberes De la Asamblea del Personal Académico Art. 44. - A"
1,¿Con qué periodicidad sesiona ordinariamente el Consejo Académico?,documento_fuente.pdf,3.0,False,5,reglamento_general_ley_organica_ues.pdf,Reglamento General de la Ley Orgánica de la Universidad de El Salvador,12,12,48,565,564,0.6661121249198914,False,False,"sarias; convocará el Decano, por iniciativa propia o cuando lo pidan por escrito un número no menor al veinticinco por ciento de sus integrantes. La convocatoria para sesión de Asamblea de Personal Académico, deberá hacerse por escrito a los integrantes de la Asamblea, con al menos veinticuatro horas de anticipación, debiendo incluirse en la misma, los puntos a tratar. Las convocatorias para la primera y segunda citación, podrán hacerse simultáneamente, habrá un lapso de media hora de espera, como mínimo entre las horas fijadas para las sesiones. Quórum y Toma de Decisiones Art.46. - Para que pueda sesionar válidamente la Asamblea de Personal Académico, se requerirá en primera y segunda convocatoria, la concurrencia de la mitad más uno de sus integrantes. En las sesiones el Decano, el Vice"
1,¿Con qué periodicidad sesiona ordinariamente el Consejo Académico?,documento_fuente.pdf,3.0,False,6,reglamento_sistema_escalafon_personal_ues.pdf,Reglamento General del Sistema de Escalafón del Personal de la Universidad de El Salvador,26,27,104,733,732,0.6657689213752747,False,False," el escalafón, serán evaluados anualmente por el órgano competente para su elección o nombramiento, debiendo remitir la evaluación al Consejo de Administración de la Carrera del Personal Académico de la Facultad o al respectivo Comité Local, según corresponda. A la terminación del período del cargo, el académico o administrativo no docente, será ubicado en la categoría que corresponda, con base a los resultados de las evaluaciones y el tiempo de servicio, quedando exonerados de la aplicación de los demás aspectos y factores exigibles.

451 Los miembros del Consejo de Administración de la Carrera del Personal Académico y del Comité Local, serán evaluados por la Junta Directiva y el Decano respectivamente y en el caso de oficinas centrales, por la Rectoría. Salario de los cargos que no gozan"
1,¿Con qué periodicidad sesiona ordinariamente el Consejo Académico?,documento_fuente.pdf,3.0,False,7,reglamento_electoral_ues.pdf,Reglamento Electoral de la Universidad de El Salvador,7,8,22,458,457,0.6603193879127502,False,False,"á parte de la Asamblea del Personal Académico si reúnen los requisitos a que se refiere el inciso anterior. Para facilitar la celebración de las sesiones de la asamblea, el personal académico suspenderá sus actividades académicas, previa autorización del Decano de la Facultad correspondiente y la asistencia será obligatoria, salvo causa debidamente justificada. Obligación de la Secretaría de la Facultad Art. 15. La persona nombrada como Secretario de cada Facultad, proporcionará el listado del personal académico para establecer la nómina de integrantes de la asamblea, al menos con cinco días hábiles de anticipación.

El listado deberá contener la clasificación escalafonaria y tiempo de servicio de cada docente, y demás información que sea necesaria para identificar a las personas elegibles"
1,¿Con qué periodicidad sesiona ordinariamente el Consejo Académico?,documento_fuente.pdf,3.0,False,8,reglamento_general_ley_organica_ues.pdf,Reglamento General de la Ley Orgánica de la Universidad de El Salvador,12,12,50,567,566,0.6575130224227905,False,False,"n interna. El Comité Técnico Asesor será convocado y coordinado por el Vice-Decano, elegirá entre sus miembros al secretario del mismo, el cual en ausencia del Vice-Decano podrá convocar y/o coordinar las sesiones. El Comité se reunirá cada 15 días como mínimo, pero podrá hacerlo las veces que sea necesario de acuerdo a las necesidades propias de la Facultad. La asistencia a las reuniones para sus miembros será obligatoria. Los dictámenes en el Comité Técnico se tomarán con la mitad más uno de sus integrantes. Atribuciones del Comité Técnico Asesor de la Junta Directiva Art.48. - El Comité Técnico tendrá las atribuciones siguientes: a) Asesorar a la Junta Directiva, en cuestiones académicas y curriculares de las respectivas unidades académicas de la Facultad; b) Proponer para su dictamen a"
1,¿Con qué periodicidad sesiona ordinariamente el Consejo Académico?,documento_fuente.pdf,3.0,False,9,ley_organica_ues.pdf,Ley Orgánica de la Universidad de El Salvador,6,7,30,247,246,0.644723653793335,False,False,"ejo Superior Universitario estará integrado por el Rector, los Decanos, un representante del Personal Académico de cada Facultad y un representante de los estudiantes de cada Facultad. El Consejo será presidido por el Rector, quien tendrá voto de calidad en caso de empate.

82 Los miembros que actúen por representación en este organismo, durarán dos años en sus funciones y podrán ser reelectos sólo por un período más en forma consecutiva. Cada representante tendrá su respectivo suplente. Atribuciones y deberes Art. 22. - Dentro de sus funciones administrativa, docente, técnica y disciplinaria, el Consejo Superior Universitario tendrá las siguientes atribuciones y deberes: a) Emitir su reglamento interno; b) Dirigir y administrar la Universidad; c) Elaborar la propuesta del anteproyecto de "
1,¿Con qué periodicidad sesiona ordinariamente el Consejo Académico?,documento_fuente.pdf,3.0,False,10,documento_fuente.pdf,Reglamento de la Gestión Académico-Administrativa de la Universidad de El Salvador,2,3,6,6,5,0.6392370462417603,True,True,"dor y tendrá las facultades que le otorga la legislación universitaria en general y en particular el presente Reglamento. CONSEJO ACADÉMICO. De la integración del Consejo Académico. Artículo 6. El Consejo Académico estará integrado por el Vicerrector Académico, quien lo coordinará, el Vicedecano de cada Facultad y el Secretario de Asuntos Académicos.

3 Este Consejo será el máximo Organismo asesor en materia académica administrativa de la Universidad de El Salvador; el Consejo Académico sesionará una vez al mes de forma ordinaria y extraordinariamente las veces que sea necesario. El quórum mínimo para sesionar será la mitad más uno de los integrantes y tomará decisiones con la mitad más uno de los presentes. ATRIBUCIONES Y DEBERES DEL CONSEJO ACADÉMICO. Artículo 7. Son Atribuciones y deber"
