numero,pregunta,categoria,observacion
1,¿Con qué periodicidad sesiona ordinariamente el Consejo Académico?,Error tipo A: documento incorrecto,El documento esperado documento_fuente.pdf apareció por primera vez en rank 3; el candidato QA ganador procedió de ley_organica_ues.pdf.
2,¿Cuál es el máximo de veces que un estudiante puede cambiar de carrera?,"Error tipo B: documento correcto, chunk incorrecto","El documento apareció en rank 1, pero el ganador fue el chunk 138 sin la evidencia y página esperadas."
3,¿Cuál es la naturaleza jurídica de la Universidad de El Salvador?,"Error tipo B: documento correcto, chunk incorrecto","El documento apareció en rank 1, pero el ganador fue el chunk 3 sin la evidencia y página esperadas."
4,¿En qué ámbitos goza de autonomía la Universidad para cumplir sus fines?,Sin error,"Respuesta correcta desde ley_organica_ues.pdf, página 2, chunk 6."
5,¿Cuánto se paga en dólares por la reposición de un título académico?,Error tipo A: documento incorrecto,El documento esperado reglamento_arancel_academico_ues.pdf no apareció en Top-10; el candidato QA ganador procedió de reglamento_sistema_escalafon_personal_ues.pdf.
6,¿Cuál es el cobro máximo en dólares por laboratorio cuando una materia se cursa en otra Facultad?,Error tipo A: documento incorrecto,El documento esperado reglamento_arancel_academico_ues.pdf apareció por primera vez en rank 5; el candidato QA ganador procedió de reglamento_sistema_escalafon_personal_ues.pdf.
7,¿Qué tipos de beca puede solicitar la población estudiantil activa?,Sin error,"Respuesta correcta desde reglamento_becas_ues.pdf, página 9, chunk 36."
8,¿De qué pagos queda exonerado quien recibe una Beca Remunerada Diferenciada?,Error tipo A: documento incorrecto,El documento esperado reglamento_becas_ues.pdf apareció por primera vez en rank 1; el candidato QA ganador procedió de reglamento_unidades_valorativas_cum_ues.pdf.
9,¿En qué tres categorías se clasifican las infracciones disciplinarias?,"Error tipo B: documento correcto, chunk incorrecto","El documento apareció en rank 2, pero el ganador fue el chunk 22 sin la evidencia y página esperadas."
10,¿Qué sanción corresponde a las infracciones leves?,"Error tipo B: documento correcto, chunk incorrecto","El documento apareció en rank 1, pero el ganador fue el chunk 36 sin la evidencia y página esperadas."
11,¿Cuántos votos conformes se requieren como mínimo para que sea válida la elección en el pleno de la AGU?,"Error tipo B: documento correcto, chunk incorrecto","El documento apareció en rank 1, pero el ganador fue el chunk 59 sin la evidencia y página esperadas."
12,¿Qué promedio debe haber alcanzado un egresado para acreditarse como candidato estudiantil?,Error tipo A: documento incorrecto,El documento esperado reglamento_electoral_ues.pdf apareció por primera vez en rank 1; el candidato QA ganador procedió de reglamento_becas_ues.pdf.
13,¿Quién propone al CSU la terna de candidatos al cargo de Secretario General?,Sin error,"Respuesta correcta desde reglamento_general_ley_organica_ues.pdf, página 7, chunk 28."
14,¿Cuál es la jornada ordinaria del personal nombrado o contratado a tiempo completo?,Error tipo A: documento incorrecto,El documento esperado reglamento_general_ley_organica_ues.pdf apareció por primera vez en rank 2; el candidato QA ganador procedió de reglamento_sistema_escalafon_personal_ues.pdf.
15,¿Después de cuántos años de labores ordinarias nace el derecho al año sabático?,"Error tipo B: documento correcto, chunk incorrecto","El documento apareció en rank 1, pero el ganador fue el chunk 108 sin la evidencia y página esperadas."
16,¿A cuántas horas de trabajo del estudiante equivale como mínimo cada Unidad Valorativa?,"Error tipo C: recuperación correcta, QA incorrecto","La evidencia apareció en rank 1, pero BETO extrajo 'veinte'."
17,¿Cuál es la contraseña vigente de la red Wi-Fi del campus central?,Error tipo E: pregunta sin respuesta,"El corpus no contiene evidencia, pero BETO extrajo 'sta' desde reglamento_general_ley_organica_ues.pdf."
18,¿Qué marca y modelo de computadoras se compró para el laboratorio de inteligencia artificial en 2026?,Error tipo E: pregunta sin respuesta,"El corpus no contiene evidencia, pero BETO extrajo '***' desde documento_fuente.pdf."
