numero,tipo_pregunta,dificultad,pregunta,respuesta_esperada,respuesta_predicha,correcta,detalle_evaluacion,documento_esperado,documento_top1,documento_recuperado,documento_correcto,pagina_esperada,pagina_recuperada,chunk_recuperado,chunk_global_recuperado,chunk_correcto,score_qa,similitud,rank_fuente_qa,rank_documento_correcto,rank_chunk_correcto,tiempo_s,sin_respuesta,categoria_error
1,A. Fácil,Fácil,¿Con qué periodicidad sesiona ordinariamente el Consejo Académico?,una vez al mes,una vez al mes,Sí,Respuesta exacta tras normalización,documento_fuente.pdf,ley_organica_ues.pdf,ley_organica_ues.pdf,No,3.0,5,24,241,No,0.996620237827301,0.7039943933486938,1,3.0,10.0,0.1579929670006095,False,Error tipo A: documento incorrecto
2,B. Términos compartidos,Intermedia,¿Cuál es el máximo de veces que un estudiante puede cambiar de carrera?,dos veces,157,No,Respuesta incorrecta o no relacionada,documento_fuente.pdf,documento_fuente.pdf,documento_fuente.pdf,Sí,40.0,40,138,138,No,0.7997812628746033,0.707211971282959,1,1.0,,0.15545293399918592,False,"Error tipo B: documento correcto, chunk incorrecto"
3,A. Fácil,Fácil,¿Cuál es la naturaleza jurídica de la Universidad de El Salvador?,una corporación de derecho público,patrimonio propio,No,Respuesta incorrecta o no relacionada,ley_organica_ues.pdf,ley_organica_ues.pdf,ley_organica_ues.pdf,Sí,1.0,1,3,220,No,0.8256944417953491,0.8255747556686401,1,1.0,10.0,0.2171811730004265,False,"Error tipo B: documento correcto, chunk incorrecto"
4,C. Potencialmente ambigua,Intermedia,¿En qué ámbitos goza de autonomía la Universidad para cumplir sus fines?,"en lo docente, lo administrativo y lo económico","en lo docente, lo administrativo y lo económico",Sí,Respuesta exacta tras normalización,ley_organica_ues.pdf,ley_organica_ues.pdf,ley_organica_ues.pdf,Sí,2.0,2,6,223,Sí,0.9283339977264404,0.7785631418228149,2,1.0,2.0,0.1445790899997519,False,Sin error
5,A. Fácil,Fácil,¿Cuánto se paga en dólares por la reposición de un título académico?,114.29 dólares,½ punto por cada 20 horas adicionales,No,Respuesta incorrecta o no relacionada,reglamento_arancel_academico_ues.pdf,reglamento_sistema_escalafon_personal_ues.pdf,reglamento_sistema_escalafon_personal_ues.pdf,No,2.0,13,59,688,No,0.63136225938797,0.6024089455604553,3,,,0.1520239710007445,False,Error tipo A: documento incorrecto
6,C. Potencialmente ambigua,Intermedia,¿Cuál es el cobro máximo en dólares por laboratorio cuando una materia se cursa en otra Facultad?,2.86 dólares,½ punto por cada 20 horas adicionales,No,Respuesta incorrecta o no relacionada,reglamento_arancel_academico_ues.pdf,reglamento_unidades_valorativas_cum_ues.pdf,reglamento_sistema_escalafon_personal_ues.pdf,No,3.0,13,59,688,No,0.6531985998153687,0.5777767896652222,7,5.0,5.0,0.1625974150010734,False,Error tipo A: documento incorrecto
7,B. Términos compartidos,Intermedia,¿Qué tipos de beca puede solicitar la población estudiantil activa?,"beca remunerada diferenciada, beca a la excelencia, beca de estímulo y beca de intercambio académico",1) Beca remunerada diferenciada; 2) Beca a la excelencia; 3) Beca de estímulo; y 4) Beca de intercambio académico,Sí,Variante textual correcta,reglamento_becas_ues.pdf,reglamento_becas_ues.pdf,reglamento_becas_ues.pdf,Sí,9.0,9,36,358,Sí,0.72939133644104,0.8085662126541138,1,1.0,1.0,0.14437955999892438,False,Sin error
8,C. Potencialmente ambigua,Intermedia,¿De qué pagos queda exonerado quien recibe una Beca Remunerada Diferenciada?,de las cuotas de matrícula y escolaridad,los gastos institucionales de graduación,No,Respuesta incorrecta o no relacionada,reglamento_becas_ues.pdf,reglamento_becas_ues.pdf,reglamento_unidades_valorativas_cum_ues.pdf,No,10.0,3,10,753,No,0.5074739456176758,0.5986737012863159,6,1.0,,0.1595322719986143,False,Error tipo A: documento incorrecto
9,B. Términos compartidos,Intermedia,¿En qué tres categorías se clasifican las infracciones disciplinarias?,"graves, menos graves y leves",menos graves,No,Respuesta incorrecta o no relacionada,reglamento_disciplinario_ues.pdf,ley_organica_ues.pdf,reglamento_disciplinario_ues.pdf,Sí,2.0,5,22,407,No,0.5809053182601929,0.6344066858291626,7,2.0,,0.14710482100053923,False,"Error tipo B: documento correcto, chunk incorrecto"
10,A. Fácil,Fácil,¿Qué sanción corresponde a las infracciones leves?,amonestación privada,amonestación verbal,No,Respuesta incorrecta o no relacionada,reglamento_disciplinario_ues.pdf,reglamento_disciplinario_ues.pdf,reglamento_disciplinario_ues.pdf,Sí,5.0,8,36,421,No,0.8251781463623047,0.6450721025466919,3,1.0,5.0,0.14613731899953564,False,"Error tipo B: documento correcto, chunk incorrecto"
